LINK,SOURCE,PHRASE,TITLE,CONTENT,DATE_ENTERED
www.reuters.com,"""the source said""",UPDATE 1-Veneto Banca&#39;s cash call seen priced at 10 cents per ...,http://www.reuters.com/article/italy-venetobanca-idUSL5N18O4A4,"<b>The source said</b> feedback from investors during pre-marketing for the share ... &quot;I  don&#39;t see any alternatives (to the price being set at 0.10 euros),&quot; <b>the source said</b>.",2016-05-27
abcnews.go.com,"""a source said""","Source: Stephen Silas, Mike D&#39;Antoni top list for Rockets job - ABC ...",http://abcnews.go.com/Sports/source-stephen-silas-mike-dantoni-top-list-rockets/story?id=39258942,"The Golden State Warriors have expressed interest in Silas for one of their  assistant coaching positions, <b>a source said</b>, with Luke Walton leaving to take the  Los&nbsp;...",2016-05-27
www.cbsnews.com,"""a source said""","California woman sues Los Angeles Police Department, accuses ...",http://www.cbsnews.com/news/california-woman-sues-los-angeles-police-department-officers-church/,"<b>A source said</b> unofficially the officers are being reviewed for a routine use-of- force report. Also, unofficially, they told him that &quot;mental health&quot; might have been  a&nbsp;...",2016-05-27
abcnews.go.com,"""sources said""",Sources: Competition committee agrees to changes to strike zone ...,http://abcnews.go.com/Sports/sources-competition-committee-agrees-strike-zone-intentional-walks/story?id=39269292,"The committee agreed on a motion to effectively raise the lower part of the strike  zone to the top of the hitter&#39;s knees, <b>sources said</b>. The current rules stipulate that &nbsp;...",2016-05-27
www.wsj.com,"""according to people familiar with""",LendingClub Talking With Citigroup About Loan Purchases - WSJ,http://www.wsj.com/articles/lendingclub-talking-with-citigroup-about-loan-purchases-1464302078,"Meanwhile, rival Prosper is fielding inquiries from large investors and private- equity firms that are seeking to buy loans, <b>according to people familiar with</b> the&nbsp;...",2016-05-27
www.foxnews.com,"""according to people familiar with""",Feds investigating real estate firm with ties to Senator Bob Corker ...,http://www.foxnews.com/politics/2016/05/25/feds-investigating-real-estate-firm-with-ties-to-senator-bob-corker.html,"Bob Corker, R-Tenn. is under investigation by federal law-enforcement officials  for alleged accounting fraud, <b>according to people familiar with</b> the matter.",2016-05-27
www.cnn.com,"""an official close to""",Airline official says debris not from plane - CNN.com,http://www.cnn.com/2016/05/18/middleeast/egyptair-flight-disappears/,"The pilots have been identified to CNN as Mohamed Said Shoukair and  Mohamed Mamdouh Ahmed Assem, according to <b>an official close to</b> the  investigation&nbsp;...",2016-05-27
www.cnn.com,"""an official close to""",Profiles of the EgyptAir crash victims - CNN.com,http://www.cnn.com/2016/05/19/middleeast/egyptair-victim-profiles/,"Assem, 24, was the first officer on EgyptAir Flight 804, according to <b>an official</b>  <b>close to</b> the investigation and a security source. He lived in Cairo. By Thursday&nbsp;...",2016-05-27
www.cnn.com,"""an official close to""",EgyptAir Flight 804: What we know - CNN.com,http://www.cnn.com/2016/05/19/middleeast/egyptair-804-what-we-know-mobile-only/,"The captain -- identified to CNN by <b>an official close to</b> the investigation and a  security source as Mohamed Said Shoukair -- had 6,275 flying hours, including&nbsp;...",2016-05-27
www.cnn.com,"""an official close to""","EgyptAir Flight 804: 5 questions you asked, answered - CNN.com",http://www.cnn.com/2016/05/19/middleeast/egyptair-questions-asked-answered/,"The pilots have been identified to CNN as Mohamed Said Shoukair and  Mohamed Mamdouh Ahmed Assem, according to <b>an official close to</b> the  investigation&nbsp;...",2016-05-27
hosted.ap.org,"""a person briefed on the matter""","The Daily Item, Sunbury, PA - AP NEWS",http://hosted.ap.org/dynamic/stories/U/US_CLINTON_MYSTERY_EMAILS?SITE=PASUN&SECTION=HOME&TEMPLATE=DEFAULT,"... of their own inquiry into Clinton&#39;s email practices in recent months but did not  receive copies of those three emails, according to <b>a person briefed on the matter</b>.",2016-05-27
abcnews.go.com,"""insisted on anonymity""",Trump Holds First Major Presidential Fundraiser in L.A. - ABC News,http://abcnews.go.com/Politics/wireStory/trump-holds-major-presidential-fundraiser-la-39388186,The person <b>insisted on anonymity</b> because the person was not authorized to  publicly discuss the internal campaign dynamics. Wiley is said to have clashed in &nbsp;...,2016-05-27
abcnews.go.com,"""insisted on anonymity""",Suspected Jihadis Attack Police in Northern Burkina Faso - ABC News,http://abcnews.go.com/International/wireStory/suspected-jihadis-attack-police-northern-burkina-faso-39200723,"One witness, who <b>insisted on anonymity</b> for his safety, said the gunmen arrived in  a pickup truck late Tuesday in Koutoukou near the border with Mali. He said&nbsp;...",2016-05-27
www.reuters.com,"""people familiar with the matter""",Williams tells Energy Transfer it would consider new offer: sources ...,http://www.reuters.com/article/us-williams-m-a-energytransfer-idUSKCN0YI2KL,"... to <b>people familiar with the matter</b>. Energy Transfer&#39;s proposed acquisition of  Williams has been in doubt for months, with Williams alleging that Energy  Transfer&nbsp;...",2016-05-27
www.nbcnews.com,"""a person familiar with the matter""",Theranos &#39;Voids Two Years of Edison Blood Test Results&#39; - NBC News,http://www.nbcnews.com/tech/tech-news/theranos-voids-two-years-edison-blood-test-results-n576661,"... it voided results from its Edison blood-testing devices for two years, the Wall  Street Journal reported on Wednesday, citing <b>a person familiar with the matter</b>.",2016-05-27
